CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope,target
-0.6321461,-0.16747011,-0.63622695,-0.8002838,0.4141598,0.4645918,-0.49675304,-0.70497185,-0.9726528,3
0.56755245,-1.0031549,-0.6614641,1.1153059,-0.30043063,-1.2097273,1.4714053,-0.7699241,-1.9740435,5
1.0418211,1.5151958,-0.19115607,-1.1565791,-0.4593991,1.3296671,-0.577086,1.155297,-0.5345434,1
1.480714,-1.4152813,1.0361354,0.005182047,-0.7677366,-1.1232044,0.06557804,-0.48744982,0.5294344,3
-0.09060293,1.0542251,0.69369465,1.5849425,-0.60608023,1.1555823,-0.577086,-0.189536,0.9675432,3
1.8143127,-1.423283,0.55207556,1.1035942,-0.54925084,-1.1415055,1.3509058,-0.8250651,0.7797823,5
-1.1760842,2.4309716,0.04381734,-0.43125406,0.39918447,1.4725953,-1.0590839,3.4127328,0.6546083,5
0.017671887,-1.0634608,-1.1059117,-1.1292433,0.46676525,-0.42791158,-0.33608702,-0.70694923,-2.0992174,1
-0.20060681,-0.7930967,-0.54984856,-0.7551716,0.37576148,-0.80790097,-0.2155875,-0.0057832673,-1.1604133,3
-1.2319655,0.07896292,0.6238593,-0.7224103,-0.19368365,1.4726257,-1.7017479,-0.5997857,0.02873897,3
0.49366972,-0.8204771,-1.0563831,-0.19884384,0.21794505,-1.1901587,1.1099068,0.016349,-0.72230476,5
-1.7357278,0.63532084,-4.050007,0.09688549,4.4563375,1.3528564,-1.7017479,1.1485276,0.21649991,5
0.7199878,1.4751253,0.5875865,-0.97280574,-0.6064642,1.3247272,-0.89841783,0.300953,0.21649991,1
0.7357877,-0.6409918,1.2248355,-0.18776289,-0.78962356,-0.4016374,0.306577,-0.6121826,1.2178911,3
0.065499246,0.15448613,1.4916329,1.1131239,-0.81535035,0.5129818,-0.33608702,-0.9364121,1.2178911,3
1.3837923,-1.3389186,0.071499735,1.7090023,0.8315482,-1.0261657,0.46724284,-0.1286149,0.2790869,5
-1.4179735,0.13152686,-1.2526265,1.5246704,0.46215746,0.47133064,-0.33608702,-0.32119006,0.9675432,5
